year,lunch_payments,breakfast_payments,milk_payments,total_payments,entitlement,bonus,total_commodity_costs,total_federal_cost
1969,203.8,5.4,101.3,310.5,272.0,0.0,272.0,582.5
1970,300.2,10.8,101.2,412.2,265.2,0.0,265.2,679.4
1971,532.2,19.4,91.2,642.8,277.3,0.0,277.3,920.1
1972,738.7,24.9,90.3,853.9,312.1,0.0,312.1,1166.0
1973,882.1,34.6,90.8,1007.5,331.0,0.0,331.0,1338.5
1974,1085.4,59.1,49.2,1193.7,316.1,0.0,316.1,1509.8
1975,1289.0,86.1,122.9,1498.0,423.5,0.0,423.5,1921.5
1976,1491.5,113.7,138.5,1743.7,418.6,0.0,418.6,2162.3
1977,1570.3,148.6,150.0,1868.9,540.8,0.0,540.8,2409.7
1978,1808.3,181.2,135.3,2124.8,485.3,57.6,542.9,2667.7
1979,1983.7,231.0,133.6,2348.3,675.3,69.6,744.9,3093.2
1980,2279.4,287.8,145.2,2712.4,765.5,139.0,904.5,3616.9
1981,2380.6,331.7,100.8,2813.1,578.9,316.3,895.2,3708.3
1982,2185.4,317.3,18.3,2521.0,426.2,330.8,757.0,3278.0
1983,2401.8,343.8,17.4,2763.0,426.8,374.1,800.9,3563.9
1984,2507.7,364.0,16.0,2887.7,440.5,386.9,827.4,3715.1
1985,2578.4,379.3,15.8,2973.5,456.0,345.2,801.3,3774.8
1986,2714.6,406.3,15.5,3136.4,445.7,376.2,821.9,3958.3
1987,2797.1,446.8,15.5,3259.4,448.5,439.6,888.2,4147.6
1988,2916.4,482.1,18.7,3417.2,466.3,347.4,813.7,4230.9
1989,3005.1719564975,513.4482093565,18.5074783698,3537.1276442238004,472.6610934975,291.485964,764.1470574975001,4301.2747017213005
1990,3213.87802785,599.1508222925,19.184070451900002,3832.2129205943997,463.2307538225,154.069708,617.3004618225,4449.5133824169
1991,3524.6442145124997,689.8549731825,19.790126305799998,4234.2893140008,590.0209268450001,109.121544,699.142470845,4933.4317848458
1992,3856.1380482625,791.14560017,19.5378718496,4666.8215202821,583.1360362849999,119.760186,702.8962222849999,5369.7177425671
1993,4081.3424546625,873.32957918,18.739504981600003,4973.4115388241,577.8235017825,90.541626,668.3651277824999,5641.7766666066
1994,4290.6613773675,963.59193762,17.789759421,5272.0430744085,629.16479396,96.156333,725.32112696,5997.364201368499
1995,4466.186471385,1049.0335256075,16.982074355,5532.202071347499,611.79712339,81.842769,693.63989239,6225.841963737499
1996,4661.541551175,1118.7782120675001,16.755018187,5797.0747814295,647.22010685,45.806997,693.02710385,6490.1018852795005
1997,4934.05887133,1214.2788568225,17.432129301,6165.769857453501,590.874611975,28.782312,619.656923975,6785.4267814285
1998,5101.576257955,1272.2261695925,16.837484926,6390.6399124735,642.4956812775,85.70653,728.2022112775,7118.842123751
1999,5314.5220884675,1345.5312341125,16.491916298499998,6676.5452388785,661.0507660599999,43.832532,704.8832980599999,7381.4285369385
2000,5492.90855965,1393.28214417,15.43870999,6901.629413809999,606.59625557,48.605528,655.2017835700001,7556.831197379999
2001,5612.3438671,1450.1132011900002,15.547315633,7078.004383923,802.2072420750001,60.597568,862.8048100750001,7940.809193998
2002,6049.56284443,1566.68056004,16.056249327,7632.299653797,720.638619995,82.626424,803.265043995,8435.564697792
2003,6340.567536109999,1651.78873872,14.298078383,8006.654353212999,696.92663093,151.725439,848.6520699299999,8855.306423143
2004,6663.11214633,1775.7722913900002,14.207563735999999,8453.092001456,762.5327700825,200.482192,963.0149620825,9416.1069635385
2005,7055.302978770001,1927.15437385,16.437103065,8998.894455685,823.988151625,151.141663,975.129814625,9974.02427031
2006,7387.934755220001,2041.91434239,14.58057106,9444.42966867,772.9022000399999,29.371721,802.2739210399999,10246.70358971
2007,7706.07967246,2163.47826913,13.61866118,9883.176602770001,1017.0167859225,16.193664,1033.2104499225,10916.387052692502
2008,8264.80650735,2365.47784879,14.859249452299998,10645.1436055923,1033.9585555375,18.525802,1052.4843575374998,11697.6279631298
2009,8874.484441780001,2582.64474137,14.112247156199999,11471.2414303062,933.660650355,185.413487,1119.074137355,12590.3155676612
2010,9751.7456046,2859.23143479,11.925729775,12622.902769165,1044.0853245225,83.812984,1127.8983085225,13750.801077687502
2011,10105.02998851,3034.15957536,12.2959461225,13151.485509992499,1031.44492184,163.74456656,1195.1894884,14346.674998392498
2012,10414.083948459998,3276.98720352,12.295035375,13703.366187354999,1157.031007905,7.07065096,1164.101658865,14867.467846219999
2013,11057.48387043,3513.9204217600004,10.7220587675,14582.1263509575,1157.2246508599999,5.76394,1162.98859086,15745.114941817501
2014,11355.732671709999,3685.26008678,10.5056804025,15051.4984388925,1300.2786800325,1.53167756,1301.8103575925,16353.308796485
2015,11698.11816396,3892.67287661,10.49963476,15601.290675330001,1307.00959853,0.49410005,1307.50369858,16908.79437391
